path,name,date,duration,rank,eliminations,expected_name,expected_date,expected_duration,expected_rank,expected_eliminations,is_valid,path
Le_clan_des_croustillant___I_amOpaZ___8.png,Rediffusion non sauvegardée,01/06/2018 21:14,21:31,0/0,0,Rediffusion non sauvegardée,01/06/2018 21:14,21:31,0/0,0,,Le_clan_des_croustillant___I_amOpaZ___8.png
Le_clan_des_croustillant___I_amOpaZ___8.png,Rediffusion non sauvegardée,01/06/2018 20:36,27:18,0/0,2,Rediffusion non sauvegardée,01/06/2018 20:36,27:18,0/0,2,,Le_clan_des_croustillant___I_amOpaZ___8.png
Le_clan_des_croustillant___I_amOpaZ___8.png,Rediffusion non sauvegardée,01/06/2018 20:07,08:43,0/0,1,Rediffusion non sauvegardée,01/06/2018 20:07,23:43,0/0,1,,Le_clan_des_croustillant___I_amOpaZ___8.png
Le_clan_des_croustillant___I_amOpaZ___8.png,Rediffusion non sauvegardée,01/06/201819:32,22:44,0/0,0,Rediffusion non sauvegardée,01/06/2018 19:32,22:44,0/0,0,,Le_clan_des_croustillant___I_amOpaZ___8.png
MenInBlack___KenXGamer___9.png,Rediﬁusiun non sauvegardée,01 /06/ 201 8 21 :43,11142,0/0,1,Rediﬁusiun non sauvegardée,01/06/2018 21:43,11:42,0/0,1,,MenInBlack___KenXGamer___9.png
MenInBlack___KenXGamer___9.png,Rediffusion non sauvegardée,01/06/2018 21:14,21:25,0/0,0,Rediffusion non sauvegardée,01/06/2018 21:14,21:25,0/0,0,,MenInBlack___KenXGamer___9.png
MenInBlack___KenXGamer___9.png,Rediffusion non sauvegardée,01/06/2018 20:37,26:15,0/0,0,Rediffusion non sauvegardée,01/06/2018 20:37,26:15,0/0,0,,MenInBlack___KenXGamer___9.png
MenInBlack___KenXGamer___9.png,Rediffusion non sauvegardée,01/06/2018 20:07,23:21,0/0,2,Rediffusion non sauvegardée,01/06/2018 20:07,23:21,0/0,2,,MenInBlack___KenXGamer___9.png
MenInBlack___KenXGamer___9.png,Rediffusion non sauvegardée,01 / 06/ 201 S 1 8:48,08:21,16/96,5,Rediffusion non sauvegardée,01/06/2018 18:48,08:21,16/96,5,,MenInBlack___KenXGamer___9.png
MenInBlack___lolo200123___0.png,Æ,code,sera,donné,d,Æ,code,sera,donné,d,,MenInBlack___lolo200123___0.png
MenInBlack___lolo200123___0.png,Rediffusion nan sauvegardée,01/06/2018 20:37,26:21,O/O,O,Rediffusion nan sauvegardée,01/06/2018 20:37,26:21,0/0,0,,MenInBlack___lolo200123___0.png
MenInBlack___lolo200123___0.png,Rediffusion non sauvegardée,01/06/2018 20:07,08:22,0/0,O,Rediffusion non sauvegardée,01/06/2018 20:07,23:22,0/0,0,,MenInBlack___lolo200123___0.png
MenInBlack___lolo200123___0.png,Rediffusion non sauvegardée,01/06/201818:15,19:16,5/92,2,Rediffusion non sauvegardée,01/06/2018 18:15,19:16,5/92,2,,MenInBlack___lolo200123___0.png
MeteOr___Aym-OM15___1.png,Rediffusinn non sauvegardée,01 /06/ 201 8 21:43,1 0232,0/0,0,Rediffusinn non sauvegardée,01/06/2018 21:43,10:32,0/0,0,,MeteOr___Aym-OM15___1.png
MeteOr___Aym-OM15___1.png,Rediffusion non sauvegardée,01/06/2018 21:14,10:49,0/0,0,Rediffusion non sauvegardée,01/06/2018 21:14,10:49,0/0,0,,MeteOr___Aym-OM15___1.png
MeteOr___Aym-OM15___1.png,Rediffusion non sauvegardée,01/06/2018 20:07,24:07,0/0,0,Rediffusion non sauvegardée,01/06/2018 20:07,24:07,0/0,0,,MeteOr___Aym-OM15___1.png
MeteOr___Aym-OM15___1.png,Top126 kills,13/05/201818:00,19:50,1/99,10,Top126 kills,13/05/2018 18:00,19:50,1/99,10,,MeteOr___Aym-OM15___1.png
Oxyde_1___Oxyde_LA____5.png,Rediffusion non sauvegardée,01/06/201 8 21243,06:38,DID,|,Rediffusion non sauvegardée,01/06/2018 21:43,06:38,0/0,0,,Oxyde_1___Oxyde_LA____5.png
Oxyde_1___Oxyde_LA____5.png,Rediffusion non sauvegardée,01/06/2018 21:14,21:58,0/0,0,Rediffusion non sauvegardée,01/06/2018 21:14,21:58,0/0,0,,Oxyde_1___Oxyde_LA____5.png
Oxyde_1___Oxyde_LA____5.png,Rediffusion non sauvegardée,01/06/2018 20:37,27:03,0/0,1,Rediffusion non sauvegardée,01/06/2018 20:37,27:03,0/0,1,,Oxyde_1___Oxyde_LA____5.png
Oxyde_1___Oxyde_LA____5.png,Rediffusion non sauvegardée,01/06/2018 20:07,23:42,0/0,1,Rediffusion non sauvegardée,01/06/2018 20:07,23:42,0/0,1,,Oxyde_1___Oxyde_LA____5.png
Poulet_braisé___guigui280101___6.png,Rediffusion non sauvegardée,01 /06/ 201 8 21143,13:39,0/0,2,Rediffusion non sauvegardée,01/06/2018 21:43,13:39,0/0,2,,Poulet_braisé___guigui280101___6.png
Poulet_braisé___guigui280101___6.png,Rediffusion non sauvegardée,01/06/2018 21:14,21:26,0/0,2,Rediffusion non sauvegardée,01/06/2018 21:14,21:26,0/0,2,,Poulet_braisé___guigui280101___6.png
Poulet_braisé___guigui280101___6.png,Rediffusion non sauvegardée,01/06/2018 20:36,26:19,0/0,0,Rediffusion non sauvegardée,01/06/2018 20:36,26:19,0/0,0,,Poulet_braisé___guigui280101___6.png
Poulet_braisé___guigui280101___6.png,Rediffusion non sauvegardée,01/06/2018 20:07,23:31,0/0,0,Rediffusion non sauvegardée,01/06/2018 20:07,23:31,0/0,0,,Poulet_braisé___guigui280101___6.png
Poulet_braisé___guigui280101___6.png,11,13/05/2018 00:47,24:26,1/92,5,11,13/05/2018 00:47,24:26,1/92,5,,Poulet_braisé___guigui280101___6.png
Reborn___Corboh___8.png,Rediffusion non sauvegardée,01/06/2018 20:43,11147,0/0,1,Rediffusion non sauvegardée,01/06/2018 20:43,11:47,0/0,1,,Reborn___Corboh___8.png
Reborn___Corboh___8.png,Rediffusion non sauvegardée,01/06/2018 20:14,21:35,0/0,0,Rediffusion non sauvegardée,01/06/2018 20:14,21:35,0/0,0,,Reborn___Corboh___8.png
Reborn___Corboh___8.png,Rediffusiun non sauvegardée,01/06/201 8 1 9136,26:18,0/0,O,Rediffusiun non sauvegardée,01/06/2018 19:36,26:18,0/0,0,,Reborn___Corboh___8.png
Reborn___Corboh___8.png,Rediffusion non sauvegardée,01/06/2018 19:07,23:27,0/0,1,Rediffusion non sauvegardée,01/06/2018 19:07,23:27,0/0,1,,Reborn___Corboh___8.png
Requinium___FunaTiik-_-80200___8.png,Rediffusion non sauvegardée,01/06/201 ! 21143,24125,0/0,.,Rediffusion non sauvegardée,01/06/2018 21:43,24:25,0/0,4,,Requinium___FunaTiik-_-80200___8.png
Requinium___FunaTiik-_-80200___8.png,Rediffusion non sauvegardée,01/06/2018 21 :14,22:16,O/O,.,Rediffusion non sauvegardée,01/06/2018 21:14,22:16,0/0,4,,Requinium___FunaTiik-_-80200___8.png
Requinium___FunaTiik-_-80200___8.png,Rediﬁusinn non sauvegardée,01/06/2018 20:37,26:11,O/O,1,Rediﬁusinn non sauvegardée,01/06/2018 20:37,26:11,0/0,1,,Requinium___FunaTiik-_-80200___8.png
Requinium___FunaTiik-_-80200___8.png,Rediffusion non sauvegardée,01 / 06/ 201 8 20107,23:28,O/O,0,Rediffusion non sauvegardée,01/06/2018 20:07,23:28,0/0,0,,Requinium___FunaTiik-_-80200___8.png
Rkzoo29___gillout29___3.png,liediﬁusion nan sauvegardée,01/06/2018 21 :14,21:29,O/O,O,liediﬁusion nan sauvegardée,01/06/2018 21:14,21:29,0/0,0,,Rkzoo29___gillout29___3.png
Rkzoo29___gillout29___3.png,Rediffusion nan sauvegardée,01/06/2018 20:36,26:48,O/O,3,Rediffusion nan sauvegardée,01/06/2018 20:36,26:48,0/0,3,,Rkzoo29___gillout29___3.png
Rkzoo29___gillout29___3.png,Rediffusion nan sauvegardée,01 /06/ 201 8 20107,73137,0/0,5,Rediffusion nan sauvegardée,01/06/2018 20:07,23:37,0/0,5,,Rkzoo29___gillout29___3.png
Rkzoo29___gillout29___3.png,Rediffusion nan sauvegardée,01/06/2018 19:32,B:O1,O/O,1,Rediffusion nan sauvegardée,01/06/2018 19:32,23:01,0/0,1,,Rkzoo29___gillout29___3.png
Rkzoo29___gillout29___3.png,Rediffusion non sauvegardée,01/06/2018 18:40,07:14,O/O,O,Rediffusion non sauvegardée,01/06/2018 18:40,07:14,0/0,0,,Rkzoo29___gillout29___3.png
Rkzoo29___gillout29___3.png,Mort de la zone,26/05/2018 00:39,24:22,1/94,7,Mort de la zone,26/05/2018 00:39,24:22,1/94,7,,Rkzoo29___gillout29___3.png
Rkzoo29___Mehdi2959___6.png,Rediffusion nan sauvegardée,01/06/2018 21114,21140,0/0,3,Rediffusion nan sauvegardée,01/06/2018 21:14,21:40,0/0,3,,Rkzoo29___Mehdi2959___6.png
Rkzoo29___Mehdi2959___6.png,Rediffusion non sauvegardée,01/06/2018 20:36,26:40,0/0,3,Rediffusion non sauvegardée,01/06/2018 20:36,26:40,0/0,3,,Rkzoo29___Mehdi2959___6.png
Rkzoo29___Mehdi2959___6.png,Rediffusion non sauvegardée,01/06/2018 20:07,24:10,0/0,3,Rediffusion non sauvegardée,01/06/2018 20:07,24:10,0/0,3,,Rkzoo29___Mehdi2959___6.png
Rkzoo29___Mehdi2959___6.png,Rediffusion non sauvegardée,01/06/2018 19:32,22:45,0/0,0,Rediffusion non sauvegardée,01/06/2018 19:32,22:45,0/0,0,,Rkzoo29___Mehdi2959___6.png
Rkzoo29___Mehdi2959___6.png,Caddy,30/05/2018 22:37,18:35,1/98,:,Caddy,30/05/2018 22:37,18:35,1/98,8,,Rkzoo29___Mehdi2959___6.png
Rkzoo29___Mehdi2959___6.png,Rediffusion corrompue,01/01/100;00,00:00,0/0,0,Rediffusion corrompue,01/01/100;00,00:00,0/0,0,,Rkzoo29___Mehdi2959___6.png
SeveriTy___SeveriTy_AeRoX___0.png,Rediffusion non sauvegardée,01/06/2018 21214,21151,0/0,5,Rediffusion non sauvegardée,01/06/2018 21:14,21:51,0/0,5,,SeveriTy___SeveriTy_AeRoX___0.png
SeveriTy___SeveriTy_AeRoX___0.png,Rediffusion non sauvegardée,01/06/201 8 20143,21:07,0/0,2,Rediffusion non sauvegardée,01/06/2018 20:43,21:07,0/0,2,,SeveriTy___SeveriTy_AeRoX___0.png
SeveriTy___SeveriTy_AeRoX___0.png,Rediffusion non sauvegardée,01/06/2018 20:38,03:35,20/99,8,Rediffusion non sauvegardée,01/06/2018 20:38,03:35,20/99,8,,SeveriTy___SeveriTy_AeRoX___0.png
SeveriTy___SeveriTy_AeRoX___0.png,Rediffusion non sauvegardée,01/06/201816:28,07:30,13/95,1,Rediffusion non sauvegardée,01/06/2018 16:28,07:30,13/95,1,,SeveriTy___SeveriTy_AeRoX___0.png
SeveriTy___SeveriTy_AeRoX___0.png,Rediffusion non sauvegardée,01/06/2018 16:08,18:54,1/93,.,Rediffusion non sauvegardée,01/06/2018 16:08,18:54,1/93,6,,SeveriTy___SeveriTy_AeRoX___0.png
SeveriTy___SeveriTy_AeRoX___3.png,Rediffusion non sauvegardée,01 / 06/ 201 8 21143,24100,0/0,1,Rediffusion non sauvegardée,01/06/2018 21:43,24:00,0/0,1,,SeveriTy___SeveriTy_AeRoX___3.png
SeveriTy___SeveriTy_AeRoX___3.png,Rediffusion non sauvegardée,01/06/2018 21:14,21:51,0/0,5,Rediffusion non sauvegardée,01/06/2018 21:14,21:51,0/0,5,,SeveriTy___SeveriTy_AeRoX___3.png
SeveriTy___SeveriTy_AeRoX___3.png,Rediffusion non sauvegardée,01/06/201 8 20143,21:07,0/0,2,Rediffusion non sauvegardée,01/06/2018 20:43,21:07,0/0,2,,SeveriTy___SeveriTy_AeRoX___3.png
SeveriTy___SeveriTy_AeRoX___3.png,Rediffusion non sauvegardée,01/06/2018 20:38,03:35,20/99,8,Rediffusion non sauvegardée,01/06/2018 20:38,03:35,20/99,8,,SeveriTy___SeveriTy_AeRoX___3.png
SeveriTy___SeveriTy_AeRoX___3.png,Rediffusion non sauvegardée,01/06/2018 16:28,07:30,13/95,1,Rediffusion non sauvegardée,01/06/2018 16:28,07:30,13/95,1,,SeveriTy___SeveriTy_AeRoX___3.png
Sharky___monster54190___8.png,Rediffusion non sauvegardée,01/06/2018 21243,24206,0/0,0,Rediffusion non sauvegardée,01/06/2018 21:43,24:06,0/0,0,,Sharky___monster54190___8.png
Sharky___monster54190___8.png,Rediffusion non sauvegardée,01/06/2018 21 :14,21 :35,0/0,0,Rediffusion non sauvegardée,01/06/2018 21:14,21:35,0/0,0,,Sharky___monster54190___8.png
Sharky___monster54190___8.png,Rediffusion non sauvegardée,01/06/2018 20:37,26:16,0/0,0,Rediffusion non sauvegardée,01/06/2018 20:37,26:16,0/0,0,,Sharky___monster54190___8.png
Sharky___monster54190___8.png,Rediffusion non sauvegardée,01/06/2018 20:07,08:30,0/0,2,Rediffusion non sauvegardée,01/06/2018 20:07,23:30,0/0,2,,Sharky___monster54190___8.png
Sharky___monster54190___8.png,Rediffusion non sauvegardée,31/05/2018 22:33,02:20,26/91,0,Rediffusion non sauvegardée,31/05/2018 22:33,02:20,26/91,0,,Sharky___monster54190___8.png
Sharky___monster54190___8.png,56,26/05/201 B 22: 06,21:50,1/97,5,56,26/05/2018 22:06,21:50,1/97,5,,Sharky___monster54190___8.png
Sharky___monster54190___8.png,55,25/05/201817:15,20:48,1/93,.,55,25/05/2018 17:15,20:48,1/93,6,,Sharky___monster54190___8.png
Sharky___monster54190___8.png,12,17/05/201814:06,20:16,1/97,7,12,17/05/2018 14:06,20:16,1/97,7,,Sharky___monster54190___8.png
SK___Im_Thiib13___5.png,Rediffusion nan sauvegardée,01/06/201 8 21:43,24:13,0/0,2,Rediffusion nan sauvegardée,01/06/2018 21:43,24:13,0/0,2,,SK___Im_Thiib13___5.png
SK___Im_Thiib13___5.png,Rediffusion non sauvegardée,01/06/2018 21:14,21:32,0/0,0,Rediffusion non sauvegardée,01/06/2018 21:14,21:32,0/0,0,,SK___Im_Thiib13___5.png
SK___Im_Thiib13___5.png,Rediffusion non sauvegardée,01/06/2018 20:36,26:48,0/0,1,Rediffusion non sauvegardée,01/06/2018 20:36,26:48,0/0,1,,SK___Im_Thiib13___5.png
SK___Im_Thiib13___5.png,Rediffusion non sauvegardée,01/06/2018 20:07,24:06,0/0,1,Rediffusion non sauvegardée,01/06/2018 20:07,24:06,0/0,1,,SK___Im_Thiib13___5.png
SK___Im_Thiib13___5.png,Rediffusion nan sauvegardée,01/06/2018 19:44,08:06,12/97,.,Rediffusion nan sauvegardée,01/06/2018 19:44,08:06,12/97,4,,SK___Im_Thiib13___5.png
SK___Im_Thiib13___5.png,Touds,01/05/201813;19,23:00,3/94,11,Touds,01/05/2018 13:19,23:00,3/94,11,,SK___Im_Thiib13___5.png
Team_tawlti___LESHARK4848___4.png,Rediffusion non sauvegardée,01/06/2018 22:32,02:22,O/O,1,Rediffusion non sauvegardée,01/06/2018 22:32,02:22,0/0,1,,Team_tawlti___LESHARK4848___4.png
Team_tawlti___LESHARK4848___4.png,Rediffusion non sauvegardée,01/06/2018 21:14,05:42,O/O,1,Rediffusion non sauvegardée,01/06/2018 21:14,05:42,0/0,1,,Team_tawlti___LESHARK4848___4.png
Team_tawlti___LESHARK4848___4.png,Rediffusion non sauvegardés,01/06/2018 20:36,27:01,O/O,O,Rediffusion non sauvegardés,01/06/2018 20:36,27:01,0/0,0,,Team_tawlti___LESHARK4848___4.png
Team_tawlti___LESHARK4848___4.png,Rediffusion non sauvegardée,01 /06/ 201 8 20:07,24:13,0/0,0,Rediffusion non sauvegardée,01/06/2018 20:07,23:23,0/0,0,,Team_tawlti___LESHARK4848___4.png
Team_TQPS___Hakiin76___2.png,Rediffusion nan sauvegardée,01/06/201 8 21243,15:14,Dll),1,Rediffusion nan sauvegardée,01/06/2018 21:43,15:14,0/0,1,,Team_TQPS___Hakiin76___2.png
Team_TQPS___Hakiin76___2.png,Rediffusion non sauvegardée,01/06/2018 21:14,21:22,0/0,0,Rediffusion non sauvegardée,01/06/2018 21:14,21:22,0/0,0,,Team_TQPS___Hakiin76___2.png
Team_TQPS___Hakiin76___2.png,Rediffusion non sauvegardée,01/06/2018 20:36,26:22,0/0,0,Rediffusion non sauvegardée,01/06/2018 20:36,26:22,0/0,0,,Team_TQPS___Hakiin76___2.png
Team_TQPS___Hakiin76___2.png,Rediffusion non sauvegardée,01/06/2018 20:07,23:26,0/0,0,Rediffusion non sauvegardée,01/06/2018 20:07,23:26,0/0,0,,Team_TQPS___Hakiin76___2.png
Team_TQPS___Hakiin76___2.png,Rediffusion non sauvegardée,01/06/2018 19:32,16:52,0/0,1,Rediffusion non sauvegardée,01/06/2018 19:32,16:52,0/0,1,,Team_TQPS___Hakiin76___2.png
Team_TQPS___Hakiin76___2.png,Le 100e mm en partant de rien,03/05/201816:11,23:37,1/97,7,Le 100e mm en partant de rien,03/05/2018 16:11,23:37,1/97,7,,Team_TQPS___Hakiin76___2.png
Team_TQPS___ItsGamerFUT___4.png,1—F'F—uuu…>mu . … >a…;5……e,01 /06/ 201 8 21 :01,5153,30/90,",",1—F'F—uuu…>mu . … >a…;5……e,01/06/2018 21:01,05:53,30/90,4,,Team_TQPS___ItsGamerFUT___4.png
Team_TQPS___ItsGamerFUT___4.png,Rediffusion non sauvegardée,01 / 06/ 201 8 20:43,15:04,0/0,2,Rediffusion non sauvegardée,01/06/2018 20:43,15:04,0/0,2,,Team_TQPS___ItsGamerFUT___4.png
Team_TQPS___ItsGamerFUT___4.png,Rediffusion non sauvegardée,01/06/2018 20:14,02:37,0/0,0,Rediffusion non sauvegardée,01/06/2018 20:14,02:37,0/0,0,,Team_TQPS___ItsGamerFUT___4.png
Team_TQPS___ItsGamerFUT___4.png,Top 1 offensive solo,18/05/201819;01,23:39,1/94,8,Top 1 offensive solo,18/05/2018 19:01,23:39,1/94,8,,Team_TQPS___ItsGamerFUT___4.png
Team_TQPS___ItsGamerFUT___4.png,Top 1 kill carabine,12/05/201811:38,22:05,1/97,.,Top 1 kill carabine,12/05/2018 11:38,22:05,1/97,9,,Team_TQPS___ItsGamerFUT___4.png
Team_TQPS___ItsGamerFUT___4.png,Rediffusion corrompue,01 /01 /1 00:00,00:00,79/99,0,Rediffusion corrompue,01 /01 /1 00:00,00:00,79/99,0,,Team_TQPS___ItsGamerFUT___4.png
Tovtown___Xx-ToVLiNE-xX___8.png,Rediffusion nan sauvegardée,01 / 06/ 201 8 21:43,4108,0/0,0,Rediffusion nan sauvegardée,01/06/2018 21:43,04:08,0/0,0,,Tovtown___Xx-ToVLiNE-xX___8.png
Tovtown___Xx-ToVLiNE-xX___8.png,Rediffusion non sauvegardée,01/06/2018 21:14,21:16,0/0,0,Rediffusion non sauvegardée,01/06/2018 21:14,21:16,0/0,0,,Tovtown___Xx-ToVLiNE-xX___8.png
Tovtown___Xx-ToVLiNE-xX___8.png,Rediffusion non sauvegardée,01/06/2018 20:36,26:25,0/0,0,Rediffusion non sauvegardée,01/06/2018 20:36,26:25,0/0,0,,Tovtown___Xx-ToVLiNE-xX___8.png
Tovtown___Xx-ToVLiNE-xX___8.png,Rediffusion non sauvegardée,01/06/2018 20:07,24:04,0/0,3,Rediffusion non sauvegardée,01/06/2018 20:07,24:04,0/0,3,,Tovtown___Xx-ToVLiNE-xX___8.png
Tovtown___Xx-ToVLiNE-xX___8.png,Rediffusion non sauvegardée,31/05/201819:50,22:29,1/97,5,Rediffusion non sauvegardée,31/05/2018 19:50,22:29,1/97,5,,Tovtown___Xx-ToVLiNE-xX___8.png
Tovtown___Xx-ToVLiNE-xX___8.png,Record solo,21/05/2018 20:49,18:43,1/94,12,Record solo,21/05/2018 20:49,18:43,1/94,12,,Tovtown___Xx-ToVLiNE-xX___8.png